"uf" "municipio" "populacao" "total_despesas" "despesas_legislativas" "despesas_administrativas" "despesas_seguranca" "despesas_assis_social" "despesas_saude"
"62" "MG" "Belo Oriente" 23984 61054130.94 2803233.58 8690101.09 86017.46 1101147.13 11265429.7
"63" "MG" "Belo Vale" 7553 21215671.8 458551.84 1823611.15 0 745671.62 4711600.31
"64" "MG" "Berizal" 4431 9495003.48 503930.08 1426482.08 21433.61 469785.53 2075880.39
"65" "MG" "Betim" 388873 1190141918.62 43695220.67 119490192.79 16687144.78 48946849.9 359683646.28
"66" "MG" "Bias Fortes" 3703 8588427.93 336222.06 824607.77 20783.12 302049.52 2196671.11
"67" "MG" "Bicas" 13783 20407781.81 650652.46 1961996.56 18579.31 686250.74 5035709.9
"68" "MG" "Biquinhas" 2602 8878736.06 393965.57 2526091.11 27434.12 218629.09 2015753.78
"69" "MG" "Boa Esperanca" 38734 65029363.58 1213972.94 7237516.81 229925.2 2074902.37 15111054.22
"70" "MG" "Bocaina de Minas" 5011 9276598.09 437242.17 1113631.64 0 401707.18 1761228.82
"71" "MG" "Bocaiuva" 47236 67279839.76 808045.7 5109734.63 32228.78 2234449.57 19523268.08
"72" "MG" "Bom Despacho" 46482 61760784.81 2057042.06 7586739.33 0 1700904.74 16557925.83
"73" "MG" "Bom Jardim de Minas" 6480 13340088.11 616908.11 1059378.57 0 375794.92 4041178.66
"74" "MG" "Bom Jesus da Penha" 3942 11799287.74 273828.24 1458850.7 0 374219.53 3758980.79
"75" "MG" "Bom Jesus do Amparo" 5593 9548994.44 357438.92 974585.31 14856.81 361783.39 2146282.09
"76" "MG" "Bom Jesus do Galho" 15242 23221142.05 885643.11 2067456.28 30921.46 501582.29 4337365.41
"77" "MG" "Bom Repouso" 10449 17864801.65 289282.71 1379549.63 0 892622.72 4763698.84
"78" "MG" "Bom Sucesso" 17271 25202147.53 1025288.53 2621769.34 25223.48 706176.95 5602714.22
"79" "MG" "Bonfim" 6811 10519821.33 428894.71 1516645.27 0 341509.52 3373059.76
"80" "MG" "Bonfinopolis de Minas" 5778 13820995.56 0 1679477.29 55066.72 509678.37 3307518.98
"81" "MG" "Bonito de Minas" 9947 14840829.41 462703.32 2291499.36 0 642833.12 3285026.33
"82" "MG" "Borda da Mata" 17523 26549670.42 876741.61 2710596.9 52970.01 788007.86 6450631.8
"83" "MG" "Botelhos" 14893 18676762.5 468661.34 2977189.81 107051.49 649397.54 4861434.88
"84" "MG" "Botumirim" 6447 11173046.81 477064.44 1369728.3 0 422665.08 2834161.72
"85" "MG" "Bras Pires" 4567 9810666.52 367855.91 731679.17 20240.6 323533.7 2483942.49
"86" "MG" "Brasilandia de Minas" 14642 22270440.74 917907.91 2812308.94 86311.44 760268.82 6461043.54
"87" "MG" "Brasilia de Minas" 31356 47078155.49 1000863.71 2571366.65 45749.26 1558434.95 22229984.86
"88" "MG" "Brasopolis" 14585 18293506.83 584660.15 2081565.68 35305.06 737615.99 4725757.09
"89" "MG" "Braunas" 4973 12897995.9 474608.52 2128128.26 18169.39 883939.83 3013143.94
"90" "MG" "Brumadinho" 35085 155884263.82 4250646.75 12455959.4 11774.62 3406909.29 49562608.74
"91" "MG" "Bueno Brandao" 10886 14457644.89 341907.73 1339246.01 0 576522.58 3611475.99
"92" "MG" "Buenopolis" 10281 19256109.06 666535.42 2878613.05 0 763062.99 4832372.47
"93" "MG" "Bugre" 3999 8859645.46 349699.43 1741777.4 25771.11 550397.17 2397682.69
"94" "MG" "Buritis" 23091 49885957.74 1513530.68 6480811.25 133567.47 3120232.1 10673567.4
"95" "MG" "Buritizeiro" 27076 41844055.93 1429221.48 5686082.71 0 1363486.85 9639758.65
"96" "MG" "Cabeceira Grande" 6534 20633157.25 793979.6 2696426.37 75429.53 717303.16 3497437.97
"97" "MG" "Cabo Verde" 13838 19242218.9 234183.73 2594856.29 58531.98 973137.98 4612288.27
"98" "MG" "Cachoeira da Prata" 3635 9890850.65 500118.7 1654085.46 26427.44 284474.15 2282111.65
"99" "MG" "Cachoeira de Minas" 11107 16291338.13 399027.21 2396515.17 7200 682482.1 4284800.11
"100" "MG" "Cachoeira de Pajeu" 9025 13997572.67 554634.15 2121719.77 1213.67 417712.04 2583960.85
"101" "MG" "Cachoeira Dourada" 2536 22199745.9 1407266.77 5371345.35 0 863899.44 4160971.17
"102" "MG" "Caetanopolis" 10467 16444683.54 804675.98 1564272.72 48772.69 832323.18 4037270.61
"103" "MG" "Caete" 41423 52370132.02 1428427.41 14137191.45 202662.71 2280171.84 10297277.53
"104" "MG" "Caiana" 5059 10057235.45 0 1421296.02 26234.35 320120.87 2387111.2
"105" "MG" "Caldas" 13764 20620228.08 545346.97 2329307.24 0 1035516.32 4498064.01
"106" "MG" "Camacho" 3097 9423473.49 389490.12 1569833.72 35678.29 212972.61 2601988.18
"107" "MG" "Camanducaia" 21162 38283520.66 1014567.35 7118660.08 0 504466.17 8456943.95
"108" "MG" "Cambui" 27020 41852416.83 823458.59 7876981.76 123257.94 625579.85 9280918.67
"109" "MG" "Cambuquira" 12612 19744427.14 540481.35 2255765.77 26780.72 234499.03 4304411.73
"110" "MG" "Campanario" 3586 9514403.33 429907.25 1205232.98 16222.15 328761.22 1991403.51
"111" "MG" "Campanha" 15635 21922264.16 758223.68 2671729.25 64125.34 655586.37 6243264.73
"112" "MG" "Campestre" 20707 31040327.07 774919.71 3508442.31 54499.93 1303842.64 4902521.1
"113" "MG" "Campina Verde" 19358 36364526.71 1512015.22 3086046.22 9904.08 1186863.74 8941862.72
"114" "MG" "Campo Azul" 3701 10729804.92 459830.71 1084348.02 12691.35 383172.83 2764997.05
"115" "MG" "Campo Belo" 51900 84393058.4 1750150.37 4760734.89 204469.14 2315473.6 28205491.9
"116" "MG" "Campo do Meio" 11483 21531913.48 508891.62 1045819.4 30435.54 714976.21 6470858.14
"117" "MG" "Campo Florido" 7103 23785467.15 928934.5 7590792.46 0 905594.37 5172156.01
"118" "MG" "Campos Altos" 14416 27520486.78 882320.93 4305155.22 45371.02 998159 7593775.19
"119" "MG" "Campos Gerais" 27760 35846216.08 1130152.52 5107375.33 75397.76 787719.3 8196448.72
"120" "MG" "Cana Verde" 5578 10699703.51 0 2159531.04 19282.33 631716.16 2790048.95
"121" "MG" "Canaa" 4604 9728862.32 260912.58 1110720.94 25497.56 317883.72 2808077.66
"122" "MG" "Canapolis" 11476 24882555.26 1115948.75 4193271.53 7505.61 676374.88 5691171.82
"123" "MG" "Candeias" 14616 26139998 763946 8626814.92 0 749142 7163032
"124" "MG" "Cantagalo" 4249 9795816.83 438683.59 2239383.57 0 626573.76 2263413.47
"125" "MG" "Caparao" 5241 11098318.38 529967.37 1476864.71 21966.24 375142.04 2735715.7
"126" "MG" "Capela Nova" 4724 9404721.5 384358.67 752603.9 16172.07 235116.9 2853230.08
"127" "MG" "Capelinha" 35368 45033261.98 1567549.67 4883470.24 47365.14 2265081.92 12274532.38
"128" "MG" "Capetinga" 7039 11741567.36 473944.31 2586267.06 41766.55 315771.5 3742973.22
